rating,title,review,processed_review
5,Cold coffee,Hands down the best cold coffee in a bottle,"['hand', 'best', 'cold', 'coffe', 'bottl']"
5,Awesome,I am so addicted to these ❤️❤️❤️❤️,"['addict', '❤️❤️❤️❤️']"
5,came very fast,love these Things,"['love', 'thing']"
5,Starbucks vanilla Frappuccino is Wonderful,Starbucks stores don’t carry this item. It’s favorable and so worth the price.,"['starbuck', 'store', 'carri', 'item', 'favor', 'worth', 'price']"
5,Love Em,"Fast shipping, securely packaged great taste!!!","['fast', 'ship', 'secur', 'packag', 'great', 'tast']"
5,Starbucks in Frappuccino 12 pack,Very happy with this delivery and the convenience of auto delivery. My husband is really loving his morning starbucks.,"['happi', 'deliveri', 'conveni', 'auto', 'deliveri', 'husband', 'realli', 'love', 'morn', 'starbuck']"
5,Drink one everyday,Pure enjoyment,"['pure', 'enjoy']"
5,Love my Frappuccino,Love my Frappuccino. I couldn’t find it anywhere 🙁 So of course I went to Amazon and they had it 😊I have to have my coffee in the morning😀,"['love', 'frappuccino', 'find', 'anywher', '🙁', 'cours', 'go', 'amazon', '😊i', 'coffe', 'morning😀']"
5,A great way to start the day!,A tasty wake up -- coffee flavor is the best!,"['tasti', 'wake', '--', 'coffe', 'flavor', 'best']"
5,My favorite iced coffee,This is my favorite of all the iced coffees,"['favorit', 'ice', 'coffe']"
5,My favorite afternoon pick me up,They are hard to find in stores now. Getting very expensive,"['hard', 'find', 'store', 'get', 'expens']"
5,Great taste,Love the taste,"['love', 'tast']"
5,Best drink in this universe,"I love this drink, it got me off of soda pop, to me that’s a plus 😁😁😁😁😁😁😁","['love', 'drink', 'get', 'soda', 'pop', 'plu', '😁😁😁😁😁😁😁']"
5,Much better price than other options.,Taste and value.,"['tast', 'valu']"
5,Why is there a shortage on this flavor? NOBODY WANTS CHOCOLATE CHURRO COFFEE! Get it together,Delicious,['delici']
5,Good stuff,Pricey,['pricey']
5,Everyone knows Starbucks,"Just like any other size of the same product only more calories at one time. If you worry about calories, pour half into a mug and save half for later. Trouble is, its too tasty to put down.","['like', 'size', 'product', 'calori', 'time', 'worri', 'calori', 'pour', 'half', 'mug', 'save', 'half', 'later', 'troubl', 'tasti', 'put']"
5,Favorite drink when I can’t get to Starbucks!,"It’s pricey, but I love it. Vanilla is my favorite flavor in this brand. Purchase it regularly.","['pricey', 'love', 'vanilla', 'favorit', 'flavor', 'brand', 'purchas', 'regularli']"
5,Mocha Smooth Flavor,"Caution, Starbucks Frappuccino Coffee Mocha Drink is so delicious and smooth, you'll want one of them once or twice a day. This is a fabulous tasting coffee drink. Highly recommended.","['caution', 'starbuck', 'frappuccino', 'coffe', 'mocha', 'drink', 'delici', 'smooth', ""'ll"", 'want', 'twice', 'day', 'fabul', 'tast', 'coffe', 'drink', 'highli', 'recommend']"
5,Starbucks Frappuccino Coffee Drink - Vanilla/13.7 oz bottles (12 pack),Fantastic coffee drink that really hit's the stop; really worth trying if you haven't done so. Book size is perfect; will fit in your pocket so you can enjoy on anytime of day!!!,"['fantast', 'coffe', 'drink', 'realli', 'hit', 'stop', 'realli', 'worth', 'tri', 'do', 'book', 'size', 'perfect', 'fit', 'pocket', 'enjoy', 'anytim', 'day']"
5,Found at last,Since COVID I have had a very hard time finding my coffee. Since I found here on Amazon I do not have to drink off brand or not have any at all! I have gotten every order early. This is one happy mama,"['sinc', 'covid', 'hard', 'time', 'find', 'coffe', 'sinc', 'find', 'amazon', 'drink', 'brand', 'get', 'everi', 'order', 'earli', 'happi', 'mama']"
5,It’s worth the money!,Drink,['drink']
5,Starbuck’s Coffee,Easy to order my favorite coffee. Comes in a secure box with no broken bottles. Easier than running to the supermarkets.,"['easi', 'order', 'favorit', 'coffe', 'come', 'secur', 'box', 'break', 'bottl', 'easier', 'run', 'supermarket']"
5,great product,Great drink,"['great', 'drink']"
5,Love the Coffee flavor!,"I love my Coffee Frappuccino! I usually like to keep it in the refrigerator and take sips throughout the day! It’s so refreshing! I think I’m addicted!
JoAnn","['love', 'coffe', 'frappuccino', 'usual', 'like', 'keep', 'refriger', 'take', 'sip', 'throughout', 'day', 'refresh', 'think', 'addict', 'joann']"
5,Delicious,"Great flavor,larger size, great quality & very satisfying","['great', 'flavor', 'larger', 'size', 'great', 'qualiti', 'satisfi']"
